host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,count_total
within a few hours,96,f,3,Queen Anne,47.63628904,-122.3710252,Apartment,Entire home/apt,4,1,1,1,85,0,0,2,5,1,14,41,71,346,207,95,10,10,10,10,9,10,f,moderate,439
within a few hours,67,f,2,Queen Anne,47.62972413,-122.3694832,House,Entire home/apt,11,4.5,5,7,975,1000,300,10,25,4,1,6,17,220,20,97,10,10,10,10,10,10,f,strict,636
N/A,94.88888889,f,1,Queen Anne,47.6384732,-122.3692791,Apartment,Entire home/apt,3,1,0,2,100,0,0,1,0,1,0,0,0,143,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,flexible,86
within an hour,100,f,2,Queen Anne,47.6329184,-122.3724706,House,Entire home/apt,6,2,3,3,450,700,125,6,15,1,30,60,90,365,38,92,9,9,10,10,9,9,f,strict,497
N/A,94.88888889,f,1,Queen Anne,47.63052548,-122.3661741,House,Private room,2,1,1,1,120,0,40,1,30,1,0,0,27,302,17,95,10,10,10,10,10,10,f,strict,422
N/A,94.88888889,f,1,Queen Anne,47.6324103,-122.3572161,Apartment,Private room,2,1,1,1,90,0,0,1,0,3,6,36,66,341,8,97,10,9,10,9,10,10,f,strict,395
within a few hours,100,f,1,Queen Anne,47.63721408,-122.3600458,House,Entire home/apt,2,1,1,1,99,500,150,1,0,3,21,21,21,229,8,97,10,10,9,10,10,9,f,strict,244
within an hour,100,f,1,Queen Anne,47.62950681,-122.3676293,House,Entire home/apt,5,1,2,3,165,400,85,4,20,2,13,40,63,337,3,100,10,10,9,9,10,10,f,strict,688
within an hour,100,f,1,Queen Anne,47.63920266,-122.3658627,House,Entire home/apt,16,3.5,6,15,461,1500,300,8,50,3,19,40,65,327,18,98,9,10,10,10,10,10,t,strict,847
within a few hours,100,f,1,Queen Anne,47.63564979,-122.3728928,House,Entire home/apt,5,1,2,2,109,0,89,1,0,3,30,60,69,69,1,80,8,10,8,8,8,8,f,strict,518
within an hour,100,f,1,Queen Anne,47.62620037,-122.3666019,Apartment,Private room,2,1,1,1,66,100,35,1,25,1,29,59,89,364,84,95,10,9,10,10,10,9,f,moderate,995
N/A,94.88888889,f,1,Queen Anne,47.63977587,-122.3722354,Apartment,Private room,2,2,1,1,200,0,0,1,0,1,0,0,0,125,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,flexible,87
N/A,94.88888889,f,1,Queen Anne,47.63602478,-122.3586936,House,Entire home/apt,10,3.5,5,5,700,500,250,1,0,3,24,54,84,359,5,85,10,9,9,9,8,8,f,flexible,652
within a few hours,100,f,1,Queen Anne,47.62794034,-122.3649587,Condominium,Entire home/apt,1,1,1,1,110,0,0,1,0,1,29,55,85,360,1,100,10,10,10,10,10,10,f,flexible,194
within an hour,100,f,1,Queen Anne,47.63637426,-122.3610334,House,Private room,3,1.5,1,2,99,0,15,1,10,1,30,60,90,365,11,84,9,9,9,9,10,8,f,moderate,456
within a day,100,f,1,Queen Anne,47.63563222,-122.3588809,House,Entire home/apt,8,2,4,4,450,0,0,1,0,4,0,0,0,53,1,100,10,10,10,10,10,10,f,flexible,383
N/A,94.88888889,f,1,Queen Anne,47.63339396,-122.3719199,House,Private room,2,1,1,1,75,0,0,1,0,1,30,60,90,365,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,flexible,638
N/A,94.88888889,f,1,Queen Anne,47.63851671,-122.369581,House,Entire home/apt,5,2.5,3,3,600,500,150,1,0,3,0,0,0,212,1,100,10,10,10,10,10,10,f,moderate,312
within a few hours,67,f,2,Queen Anne,47.63139735,-122.3677669,House,Entire home/apt,8,2.5,3,5,450,500,200,6,50,4,0,3,33,293,8,100,10,10,9,10,10,10,f,strict,664
within a few hours,100,f,1,Queen Anne,47.63875224,-122.3679727,House,Entire home/apt,5,1,2,3,150,250,35,1,0,1,0,0,0,49,0,94.53926206,9.636392405,9.556398104,9.786708861,9.80959899,9.608915586,9.452245414,f,flexible,495
within an hour,100,f,5,Queen Anne,47.62990712,-122.3689481,Apartment,Entire home/apt,6,2,3,3,300,500,125,1,0,2,24,54,84,356,6,100,10,10,10,10,10,10,t,moderate,613
within an hour,71,f,1,Queen Anne,47.63981587,-122.3743385,Apartment,Entire home/apt,3,1,1,2,80,0,65,3,50,2,0,1,30,305,4,85,8,9,7,10,9,9,f,strict,329
within a few hours,97,f,9,Queen Anne,47.63508504,-122.3644435,House,Entire home/apt,6,1.5,3,3,325,500,100,6,60,2,23,50,77,162,68,92,9,9,10,9,10,9,f,strict,488
within a day,60,f,1,Queen Anne,47.64063323,-122.3727094,House,Entire home/apt,4,3,3,2,175,200,80,1,0,4,0,0,9,213,8,88,9,9,9,9,10,9,f,flexible,506
within an hour,71,f,1,Queen Anne,47.63812149,-122.37579,House,Entire home/apt,7,3.5,4,3,222,500,250,7,75,2,0,0,0,2,5,75,8,9,8,9,9,8,t,strict,409
within an hour,100,f,1,Queen Anne,47.62981553,-122.3662123,Apartment,Entire home/apt,4,1,2,2,159,250,99,1,0,1,11,38,68,309,62,97,10,10,10,10,10,9,f,strict,771
