"host_response_time","host_response_rate","host_is_superhost","host_listings_count","host_total_listings_count","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","availability_30","availability_60","availability_90","availability_365","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","cancellation_policy","require_guest_profile_picture","require_guest_phone_verification","calculated_host_listings_count","reviews_per_month","count_summary","count_description","count_space","count_neighborhood","count_notes","count_transit","count_host","count_amenities","count_total"
"within a few hours",96,"f",3,3,"West Queen Anne","Queen Anne",47.63628904,-122.3710252,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",85,0,0,2,5,1,14,41,71,346,207,95,10,10,10,10,9,10,"f","moderate","f","f",2,4.07,0,182,182,0,0,0,75,10,439
"within a few hours",67,"f",2,2,"West Queen Anne","Queen Anne",47.62972413,-122.3694832,"House","Entire home/apt",11,4.5,5,7,"Real Bed",975,1000,300,10,25,4,1,6,17,220,20,97,10,10,10,10,10,10,"f","strict","f","f",2,1.15,38,173,183,116,28,34,64,21,636
"N/A",94.8888888888889,"f",1,1,"West Queen Anne","Queen Anne",47.6384732,-122.3692791,"Apartment","Entire home/apt",3,1,0,2,"Real Bed",100,0,0,1,0,1,0,0,0,143,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,43,43,0,0,0,0,0,14,86
"within an hour",100,"f",2,2,"West Queen Anne","Queen Anne",47.6329184,-122.3724706,"House","Entire home/apt",6,2,3,3,"Real Bed",450,700,125,6,15,1,30,60,90,365,38,92,9,9,10,10,9,9,"f","strict","f","f",1,0.89,30,175,85,88,1,56,62,13,497
"N/A",94.8888888888889,"f",1,1,"West Queen Anne","Queen Anne",47.63052548,-122.3661741,"House","Private room",2,1,1,1,"Real Bed",120,0,40,1,30,1,0,0,27,302,17,95,10,10,10,10,10,10,"f","strict","f","f",1,2.45,47,196,86,21,14,19,39,6,422
"N/A",94.8888888888889,"f",1,1,"West Queen Anne","Queen Anne",47.6324103,-122.3572161,"Apartment","Private room",2,1,1,1,"Real Bed",90,0,0,1,0,3,6,36,66,341,8,97,10,9,10,9,10,10,"f","strict","f","f",1,1.22,31,171,24,86,0,43,40,15,395
"within a few hours",100,"f",1,1,"West Queen Anne","Queen Anne",47.63721408,-122.3600458,"House","Entire home/apt",2,1,1,1,"Real Bed",99,500,150,1,0,3,21,21,21,229,8,97,10,10,9,10,10,9,"f","strict","f","f",1,0.98,36,110,29,16,0,8,45,12,244
"within an hour",100,"f",1,1,"West Queen Anne","Queen Anne",47.62950681,-122.3676293,"House","Entire home/apt",5,1,2,3,"Real Bed",165,400,85,4,20,2,13,40,63,337,3,100,10,10,9,9,10,10,"f","strict","f","f",1,3,41,172,80,151,0,110,134,16,688
"within an hour",100,"f",1,1,"West Queen Anne","Queen Anne",47.63920266,-122.3658627,"House","Entire home/apt",16,3.5,6,15,"Real Bed",461,1500,300,8,50,3,19,40,65,327,18,98,9,10,10,10,10,10,"t","strict","f","f",1,2.65,51,180,187,153,105,87,84,19,847
"within a few hours",100,"f",1,1,"West Queen Anne","Queen Anne",47.63564979,-122.3728928,"House","Entire home/apt",5,1,2,2,"Real Bed",109,0,89,1,0,3,30,60,69,69,1,80,8,10,8,8,8,8,"f","strict","f","f",1,0.73,17,179,178,52,0,61,31,13,518
"within an hour",100,"f",1,1,"West Queen Anne","Queen Anne",47.62620037,-122.3666019,"Apartment","Private room",2,1,1,1,"Real Bed",66,100,35,1,25,1,29,59,89,364,84,95,10,9,10,10,10,9,"f","moderate","f","f",1,4.55,41,166,174,131,178,174,131,14,995
"N/A",94.8888888888889,"f",1,1,"West Queen Anne","Queen Anne",47.63977587,-122.3722354,"Apartment","Private room",2,2,1,1,"Futon",200,0,0,1,0,1,0,0,0,125,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,43,43,0,0,0,0,1,20,87
"N/A",94.8888888888889,"f",1,1,"West Queen Anne","Queen Anne",47.63602478,-122.3586936,"House","Entire home/apt",10,3.5,5,5,"Real Bed",700,500,250,1,0,3,24,54,84,359,5,85,10,9,9,9,8,8,"f","flexible","f","f",1,0.82,43,180,128,116,67,26,92,19,652
"within a few hours",100,"f",1,1,"West Queen Anne","Queen Anne",47.62794034,-122.3649587,"Condominium","Entire home/apt",1,1,1,1,"Real Bed",110,0,0,1,0,1,29,55,85,360,1,100,10,10,10,10,10,10,"f","flexible","f","f",1,1,43,98,20,33,0,0,0,11,194
"within an hour",100,"f",1,1,"West Queen Anne","Queen Anne",47.63637426,-122.3610334,"House","Private room",3,1.5,1,2,"Real Bed",99,0,15,1,10,1,30,60,90,365,11,84,9,9,9,9,10,8,"f","moderate","f","f",1,0.71,51,173,48,37,20,20,107,12,456
"within a day",100,"f",1,1,"West Queen Anne","Queen Anne",47.63563222,-122.3588809,"House","Entire home/apt",8,2,4,4,"Real Bed",450,0,0,1,0,4,0,0,0,53,1,100,10,10,10,10,10,10,"f","flexible","f","f",1,0.86,48,180,86,55,0,14,0,13,383
"N/A",94.8888888888889,"f",1,1,"West Queen Anne","Queen Anne",47.63339396,-122.3719199,"House","Private room",2,1,1,1,"Real Bed",75,0,0,1,0,1,30,60,90,365,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,38,174,60,77,0,90,199,20,638
"N/A",94.8888888888889,"f",1,1,"West Queen Anne","Queen Anne",47.63851671,-122.369581,"House","Entire home/apt",5,2.5,3,3,"Real Bed",600,500,150,1,0,3,0,0,0,212,1,100,10,10,10,10,10,10,"f","moderate","f","f",1,0.18,27,165,91,0,16,13,0,12,312
"within a few hours",67,"f",2,2,"West Queen Anne","Queen Anne",47.63139735,-122.3677669,"House","Entire home/apt",8,2.5,3,5,"Real Bed",450,500,200,6,50,4,0,3,33,293,8,100,10,10,9,10,10,10,"f","strict","f","f",2,1.3,42,176,160,116,72,34,64,16,664
"within a few hours",100,"f",1,1,"West Queen Anne","Queen Anne",47.63875224,-122.3679727,"House","Entire home/apt",5,1,2,3,"Real Bed",150,250,35,1,0,1,0,0,0,49,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","flexible","f","f",1,0,36,184,42,96,102,21,14,13,495
"within an hour",100,"f",5,5,"West Queen Anne","Queen Anne",47.62990712,-122.3689481,"Apartment","Entire home/apt",6,2,3,3,"Real Bed",300,500,125,1,0,2,24,54,84,356,6,100,10,10,10,10,10,10,"t","moderate","f","f",1,2.47,41,176,175,142,0,42,37,18,613
"within an hour",71,"f",1,1,"West Queen Anne","Queen Anne",47.63981587,-122.3743385,"Apartment","Entire home/apt",3,1,1,2,"Real Bed",80,0,65,3,50,2,0,1,30,305,4,85,8,9,7,10,9,9,"f","strict","f","f",1,0.33,40,166,30,23,42,28,0,14,329
"within a few hours",97,"f",9,9,"West Queen Anne","Queen Anne",47.63508504,-122.3644435,"House","Entire home/apt",6,1.5,3,3,"Real Bed",325,500,100,6,60,2,23,50,77,162,68,92,9,9,10,9,10,9,"f","strict","f","f",8,2.18,37,158,163,59,11,18,42,13,488
"within a day",60,"f",1,1,"West Queen Anne","Queen Anne",47.64063323,-122.3727094,"House","Entire home/apt",4,3,3,2,"Real Bed",175,200,80,1,0,4,0,0,9,213,8,88,9,9,9,9,10,9,"f","flexible","f","f",1,1.31,40,173,172,77,39,5,0,16,506
"within an hour",71,"f",1,1,"West Queen Anne","Queen Anne",47.63812149,-122.37579,"House","Entire home/apt",7,3.5,4,3,"Real Bed",222,500,250,7,75,2,0,0,0,2,5,75,8,9,8,9,9,8,"t","strict","f","f",1,0.99,42,158,66,25,105,13,0,16,409
"within an hour",100,"f",1,1,"West Queen Anne","Queen Anne",47.62981553,-122.3662123,"Apartment","Entire home/apt",4,1,2,2,"Real Bed",159,250,99,1,0,1,11,38,68,309,62,97,10,10,10,10,10,9,"f","strict","f","f",1,2.27,0,173,173,101,81,196,47,19,771
"within an hour",100,"f",2,2,"West Queen Anne","Queen Anne",47.63981019,-122.3738006,"Apartment","Entire home/apt",4,1,1,2,"Real Bed",125,0,50,2,25,2,30,60,90,353,19,95,10,10,10,10,10,10,"t","moderate","f","f",2,4.35,42,164,95,34,9,15,7,16,366
"within a day",50,"f",1,1,"West Queen Anne","Queen Anne",47.63556952,-122.3616526,"House","Entire home/apt",8,3,3,3,"Real Bed",348,750,150,6,20,3,0,0,0,153,5,96,10,10,10,10,10,9,"f","strict","f","f",1,0.97,23,171,180,72,85,81,60,14,672
"a few days or more",31,"f",1,1,"West Queen Anne","Queen Anne",47.63497873,-122.3588694,"House","Private room",1,1,1,1,"Futon",45,0,0,1,0,1,28,58,88,363,7,97,9,8,10,10,10,10,"f","flexible","f","f",1,0.9,46,190,88,64,0,33,131,11,552
"within an hour",100,"f",2,2,"West Queen Anne","Queen Anne",47.6393621,-122.3724026,"Apartment","Entire home/apt",4,1,1,2,"Real Bed",150,0,50,2,25,2,16,46,76,351,2,100,10,10,10,10,10,10,"t","moderate","f","f",2,0.83,39,180,73,44,35,25,7,12,403
"within an hour",100,"f",1,1,"West Queen Anne","Queen Anne",47.63800138,-122.3610048,"Apartment","Entire home/apt",4,1,1,2,"Real Bed",110,100,40,2,15,2,19,46,76,351,71,90,10,8,10,10,10,9,"f","moderate","f","f",1,4.7,21,168,147,42,84,52,35,17,549
"within a few hours",100,"f",1,1,"West Queen Anne","Queen Anne",47.63199585,-122.3716577,"House","Entire home/apt",3,1,1,2,"Real Bed",148,0,100,2,20,3,0,13,43,310,9,91,9,10,9,9,10,10,"f","strict","t","t",1,0.46,40,160,159,100,36,62,166,11,723
"N/A",94.8888888888889,"f",1,1,"West Queen Anne","Queen Anne",47.63868624,-122.3707999,"House","Entire home/apt",4,1.5,2,2,"Real Bed",350,500,100,4,0,2,0,3,33,308,41,98,10,10,10,10,10,9,"f","moderate","f","f",1,1.38,43,175,172,37,25,96,7,17,555
"within a day",50,"f",1,1,"West Queen Anne","Queen Anne",47.63430018,-122.3570598,"House","Private room",5,1,1,1,"Real Bed",150,0,0,1,0,1,0,0,11,285,9,100,10,10,9,9,10,10,"f","flexible","f","f",1,1.99,43,177,51,179,42,64,142,12,698
"within a day",50,"f",1,1,"West Queen Anne","Queen Anne",47.62834387,-122.3664054,"Apartment","Entire home/apt",2,1,0,1,"Futon",100,0,0,1,0,1,28,58,87,87,20,92,9,9,9,9,9,9,"f","flexible","f","f",1,2.29,40,167,133,81,21,127,88,15,657
"within a day",90,"f",1,1,"West Queen Anne","Queen Anne",47.63539394,-122.3689911,"Bungalow","Entire home/apt",10,3,4,4,"Real Bed",349,0,200,1,0,1,30,60,90,354,0,94.5392620624409,9.63639240506329,9.5563981042654,9.78670886075949,9.80959898958004,9.60891558646854,9.45224541429475,"f","strict","f","f",1,0,35,176,120,54,0,85,0,13,470
